payloadsize	encrypt	decrypt
7670	0.0062303600	0.0045695100
7680	0.0062381000	0.0045722900
7690	0.0062489800	0.0045827400
7700	0.0062384000	0.0045713500
7710	0.0062330100	0.0045729200
7720	0.0062511300	0.0045775500
7730	0.0062470900	0.0045808700
7740	0.0062502900	0.0045832600
7750	0.0062450900	0.0045827900
7760	0.0062352300	0.0045709100
7770	0.0062336500	0.0045727100
7780	0.0062327000	0.0045727400
7790	0.0062366200	0.0045769600
7800	0.0062418300	0.0045726800
7810	0.0062334100	0.0045787600
7820	0.0062348000	0.0045643600
7830	0.0062412900	0.0045773400
7840	0.0062594100	0.0045834700
7850	0.0062385000	0.0045721300
7860	0.0062299500	0.0045719400
7870	0.0062384200	0.0045800900
7880	0.0062452000	0.0045784200
7890	0.0062383700	0.0045746200
7900	0.0062312900	0.0045724500
7910	0.0062393900	0.0045780300
7920	0.0062628400	0.0045872500
7930	0.0062527100	0.0045834600
7940	0.0062398100	0.0045831200
7950	0.0062384900	0.0045777400
7960	0.0062406400	0.0045756200
7970	0.0062361900	0.0045777500
7980	0.0062358900	0.0045749000
7990	0.0062401200	0.0045766900
8000	0.0062441500	0.0045810000
8010	0.0062467200	0.0045765000
8020	0.0062618900	0.0045978100
8030	0.0062459300	0.0045846500
8040	0.0062314300	0.0045699600
8050	0.0062330500	0.0045724900
8060	0.0062468200	0.0045840200
8070	0.0062452400	0.0045877800
8080	0.0062470000	0.0045823100
8090	0.0062469600	0.0045810600
8100	0.0062430000	0.0045769600
8110	0.0062589500	0.0045880600
8120	0.0062697900	0.0046000600
8130	0.0062433000	0.0045832400
8140	0.0062527000	0.0045844300
8150	0.0062522000	0.0045922200
8160	0.0062449200	0.0045824500
8170	0.0062444100	0.0045861000
8180	0.0062448900	0.0045801000
8190	0.0062367100	0.0045843300
8200	0.0062447800	0.0045869900
8210	0.0062712900	0.0045948300
